Learners,Measures,synapse,xerces,tomcat,xalan,camel,prop,ant,arc,poi,ivy,velocity,redaktor,log4j,jedit
KNN,Recall,0.85 / 0.09,0.63 / 0.12,0.99 / 0.01,0.50 / 0.50,1.00 / 0.00,1.00 / 0.01,0.93 / 0.03,1.00 / 0.02,0.69 / 0.12,0.98 / 0.02,0.87 / 0.10,1.00 / 0.00,0.00 / 0.00,1.00 / 0.00
SVM,Recall,0.88 / 0.09,0.80 / 0.13,0.99 / 0.01,0.50 / 1.00,1.00 / 0.02,1.00 / 0.00,0.96 / 0.03,0.98 / 0.05,0.75 / 0.09,0.97 / 0.03,0.87 / 0.07,0.97 / 0.03,0.00 / 0.00,1.00 / 0.01
NB,Recall,0.82 / 0.09,0.87 / 0.07,0.90 / 0.02,1.00 / 0.50,0.94 / 0.04,0.58 / 0.08,0.89 / 0.05,0.61 / 0.22,0.91 / 0.09,0.90 / 0.03,0.90 / 0.07,0.23 / 0.10,0.75 / 0.33,0.95 / 0.02
RF,Recall,0.88 / 0.09,0.81 / 0.13,0.99 / 0.01,0.50 / 1.00,1.00 / 0.02,0.97 / 0.03,0.93 / 0.04,0.95 / 0.03,0.78 / 0.07,0.97 / 0.02,0.84 / 0.07,0.97 / 0.07,0.00 / 0.33,1.00 / 0.00
LR,Recall,0.88 / 0.09,0.80 / 0.07,0.99 / 0.02,0.00 / 0.00,0.98 / 0.02,0.98 / 0.02,0.94 / 0.03,0.98 / 0.03,0.69 / 0.13,0.97 / 0.03,0.90 / 0.10,0.97 / 0.07,0.00 / 0.00,0.99 / 0.01
DT,Recall,0.77 / 0.12,0.80 / 0.10,0.94 / 0.03,0.50 / 0.50,0.97 / 0.03,0.92 / 0.03,0.84 / 0.03,0.88 / 0.03,0.72 / 0.09,0.90 / 0.06,0.73 / 0.10,0.90 / 0.10,0.33 / 0.42,0.98 / 0.02
KNN,Precision,0.74 / 0.05,0.74 / 0.06,0.91 / 0.00,0.50 / 1.00,0.96 / 0.01,0.90 / 0.00,0.84 / 0.02,0.89 / 0.01,0.68 / 0.08,0.89 / 0.02,0.70 / 0.04,0.86 / 0.02,0.00 / 0.00,0.98 / 0.00
SVM,Precision,0.74 / 0.04,0.79 / 0.11,0.92 / 0.01,0.50 / 0.67,0.96 / 0.01,0.90 / 0.00,0.84 / 0.01,0.91 / 0.02,0.68 / 0.09,0.91 / 0.01,0.76 / 0.06,0.91 / 0.06,0.00 / 0.00,0.98 / 0.00
NB,Precision,0.78 / 0.05,0.43 / 0.04,0.93 / 0.02,0.06 / 0.04,0.97 / 0.02,0.95 / 0.03,0.87 / 0.03,0.93 / 0.04,0.43 / 0.03,0.92 / 0.03,0.72 / 0.05,1.00 / 0.00,0.12 / 0.02,0.98 / 0.01
RF,Precision,0.76 / 0.06,0.89 / 0.06,0.92 / 0.01,1.00 / 1.00,0.96 / 0.01,0.91 / 0.01,0.84 / 0.02,0.91 / 0.02,0.73 / 0.10,0.90 / 0.02,0.76 / 0.06,0.91 / 0.06,0.00 / 0.50,0.98 / 0.00
LR,Precision,0.76 / 0.05,0.79 / 0.11,0.92 / 0.01,0.00 / 0.00,0.96 / 0.01,0.90 / 0.01,0.84 / 0.02,0.91 / 0.02,0.70 / 0.10,0.91 / 0.01,0.77 / 0.05,0.91 / 0.06,0.00 / 0.00,0.98 / 0.00
DT,Precision,0.77 / 0.09,0.82 / 0.10,0.93 / 0.01,0.50 / 0.67,0.96 / 0.01,0.93 / 0.02,0.84 / 0.03,0.90 / 0.03,0.72 / 0.11,0.91 / 0.01,0.73 / 0.06,0.93 / 0.09,0.40 / 0.50,0.98 / 0.00
KNN,F_score,0.81 / 0.06,0.70 / 0.09,0.95 / 0.00,0.50 / 0.67,0.98 / 0.01,0.95 / 0.00,0.88 / 0.02,0.94 / 0.01,0.68 / 0.08,0.94 / 0.02,0.78 / 0.06,0.92 / 0.01,0.00 / 0.00,0.99 / 0.00
SVM,F_score,0.81 / 0.05,0.79 / 0.09,0.95 / 0.01,0.50 / 0.67,0.98 / 0.00,0.95 / 0.00,0.89 / 0.02,0.93 / 0.02,0.71 / 0.06,0.93 / 0.01,0.81 / 0.04,0.94 / 0.03,0.00 / 0.00,0.98 / 0.01
NB,F_score,0.80 / 0.04,0.58 / 0.04,0.92 / 0.01,0.11 / 0.07,0.95 / 0.02,0.72 / 0.05,0.88 / 0.02,0.74 / 0.14,0.58 / 0.05,0.91 / 0.03,0.79 / 0.05,0.38 / 0.12,0.20 / 0.03,0.96 / 0.02
RF,F_score,0.82 / 0.04,0.84 / 0.07,0.95 / 0.01,0.67 / 1.00,0.98 / 0.00,0.94 / 0.01,0.89 / 0.01,0.93 / 0.02,0.76 / 0.08,0.94 / 0.02,0.81 / 0.03,0.94 / 0.03,0.00 / 0.40,0.99 / 0.01
LR,F_score,0.82 / 0.04,0.79 / 0.06,0.95 / 0.01,0.00 / 0.00,0.98 / 0.01,0.94 / 0.01,0.89 / 0.01,0.93 / 0.02,0.69 / 0.09,0.94 / 0.02,0.82 / 0.04,0.93 / 0.03,0.00 / 0.00,0.98 / 0.01
DT,F_score,0.79 / 0.08,0.80 / 0.08,0.93 / 0.02,0.67 / 0.47,0.96 / 0.02,0.93 / 0.03,0.84 / 0.02,0.89 / 0.01,0.71 / 0.09,0.91 / 0.04,0.73 / 0.08,0.92 / 0.07,0.40 / 0.35,0.98 / 0.01
KNN,Accuracy,0.71 / 0.06,0.85 / 0.03,0.91 / 0.01,0.99 / 0.99,0.96 / 0.01,0.90 / 0.01,0.81 / 0.03,0.89 / 0.02,0.77 / 0.07,0.89 / 0.03,0.67 / 0.09,0.86 / 0.02,0.00 / 0.00,0.98 / 0.00
SVM,Accuracy,0.72 / 0.06,0.89 / 0.04,0.91 / 0.01,0.99 / 0.99,0.96 / 0.00,0.90 / 0.00,0.82 / 0.03,0.88 / 0.04,0.77 / 0.05,0.87 / 0.02,0.73 / 0.06,0.89 / 0.05,0.00 / 0.00,0.97 / 0.01
NB,Accuracy,0.72 / 0.06,0.67 / 0.06,0.85 / 0.02,0.85 / 0.06,0.91 / 0.03,0.59 / 0.06,0.81 / 0.04,0.63 / 0.16,0.52 / 0.04,0.84 / 0.06,0.70 / 0.08,0.33 / 0.08,0.51 / 0.13,0.93 / 0.03
RF,Accuracy,0.74 / 0.06,0.92 / 0.03,0.91 / 0.01,0.99 / 1.00,0.96 / 0.00,0.89 / 0.02,0.81 / 0.03,0.88 / 0.04,0.82 / 0.08,0.89 / 0.03,0.72 / 0.05,0.89 / 0.05,0.00 / 0.93,0.98 / 0.01
LR,Accuracy,0.74 / 0.07,0.89 / 0.03,0.91 / 0.01,0.00 / 0.00,0.95 / 0.02,0.89 / 0.02,0.81 / 0.02,0.87 / 0.04,0.78 / 0.06,0.89 / 0.04,0.74 / 0.06,0.89 / 0.05,0.00 / 0.00,0.97 / 0.02
DT,Accuracy,0.71 / 0.11,0.90 / 0.04,0.88 / 0.02,0.99 / 0.02,0.93 / 0.04,0.87 / 0.05,0.76 / 0.04,0.81 / 0.01,0.80 / 0.09,0.84 / 0.07,0.65 / 0.11,0.85 / 0.11,0.90 / 0.10,0.96 / 0.02
